name,price_doll,price,url_img,inf
Toyota Aygo,$5500,483065сом,https://im.mashina.kg/tachka/images//d/3/9/d39c8239d0cbf3ba207eeeb4bdfc3a45_240x180.jpg,"2011г.,1л.,механикахэтчбек5дв.,бензинрульслева,196000км"
Honda Civic,$6900,606027сом,https://im.mashina.kg/tachka/images//6/0/b/60b534f17a70b8f77ea7c8b683b3c981_240x180.jpg,"2009г.,1.3л.,вариаторседан,гибридрульслева,232000км"
Hyundai Sonata,$13000,1141790сом,https://im.mashina.kg/tachka/images//9/7/2/97251e92cf0969cacc49e8e31b0d85b2_240x180.jpg,"2017г.,2л.,автоматседан,газрульслева,260000км"
Hyundai Santa Fe,$26500,2327495сом,https://im.mashina.kg/tachka/images//8/e/3/8e3c57d6fb8f9d29492f7302a442c0b5_240x180.jpg,"2018г.,2л.,автоматвнедорожник5дв.,дизельрульслева,129000км"
Toyota RAV4,$36500,3205795сом,https://im.mashina.kg/tachka/images//e/2/3/e23ddc2f306dd33da4b87742c03e38f0_240x180.jpg,"2019г.,2.5л.,автоматвнедорожник5дв.,гибридрульслева,90000км"
Lexus LX,$19800,1739034сом,https://im.mashina.kg/tachka/images//3/3/8/338b6ad6cd1f109906b250b5af7d257e_240x180.jpg,"2003г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,155789км"
Toyota Camry,$44800,3934784сом,https://im.mashina.kg/tachka/images//0/b/8/0b85e6f551f3658bfdc584949b8990b1_240x180.jpg,"2023г.,2.5л.,вариаторседан,гибридрульслева,70км"
Toyota Camry,$22000,1932260сом,https://im.mashina.kg/tachka/images//3/e/4/3e4d3cddd6907060b7ab7be2c908e7a3_240x180.jpg,"2019г.,2.5л.,автоматседан,бензинрульслева,130000км"
BMW X7,$115000,10100450сом,https://im.mashina.kg/tachka/images//8/8/4/88481849bfb83774f9a6571766e33235_240x180.jpg,"2019г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,128000км"
Kia K7,$18900,1659987сом,https://im.mashina.kg/tachka/images//f/d/5/fd54d04012a9a6af5bfe3887fdb3418c_240x180.jpg,"2016г.,2.4л.,автоматседан,бензинрульслева,115000км"
Mercedes-Benz E-класс,$20500,1800515сом,https://im.mashina.kg/tachka/images//d/6/4/d6441e87344b2500c42db88639090181_240x180.jpg,"2015г.,2л.,автоматседан,бензинрульслева,162000км"
Toyota Camry,$25800,2266014сом,https://im.mashina.kg/tachka/images//0/5/4/0543259573207ac599b62208d51dbc06_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,52000км"
Hyundai Sonata,$12700,1115441сом,https://im.mashina.kg/tachka/images//0/f/7/0f767b1ada090e3d62da137430a189a3_240x180.jpg,"2017г.,2л.,автоматседан,газрульслева,180000км"
Volkswagen ID.6,$33900,2977437сом,https://im.mashina.kg/tachka/images//e/0/8/e08948c116dca1ae46b8de5ea93f2bbf_240x180.jpg,"2021г.,автоматвнедорожник5дв.,электрорульслева,5400км"
Hyundai Grandeur,$15600,1370148сом,https://im.mashina.kg/tachka/images//3/a/b/3aba037eabe74f86a244924f37c93ec7_240x180.jpg,"2017г.,3л.,автоматседан,газрульслева,106000км"
Lexus RX,$23500,2064005сом,https://im.mashina.kg/tachka/images//0/9/3/093e7925d4447f63b963b1811110b095_240x180.jpg,"2009г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,250000км"
Toyota Land Cruiser,$35000,3074050сом,https://im.mashina.kg/tachka/images//a/7/d/a7da045982a8d0f65dc5354308d0ae33_240x180.jpg,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,111000км"
Ford Ranger,$14000,1229620сом,https://im.mashina.kg/tachka/images//c/a/d/cadd4ce91e3e89296d165938e421df6a_240x180.jpg,"2012г.,2.5л.,механикапикапдвойнаякабина,бензинрульслева,350000км"
Lexus LX,$35000,3074050сом,https://im.mashina.kg/tachka/images//e/2/7/e274689da18078fae49064b3cbc6e52c_240x180.jpg,"2008г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,203500км"
Kia K5 III Седан,$30000,2634900сом,https://im.mashina.kg/tachka/images//9/6/8/9680d4e03562fce10e23d375748ef898_240x180.jpg,"2020г.,1.6л.,автоматседан,бензинрульслева,108000км"
Lexus ES,$38000,3337540сом,https://im.mashina.kg/tachka/images//4/5/a/45a87a5ab13dec386f9dc348e08fd67c_240x180.jpg,"2019г.,2.5л.,вариаторседан,гибридрульслева,44400км"
Kia Sorento,$22000,1932260сом,https://im.mashina.kg/tachka/images//e/9/9/e998d6e8149b62455d8dde8b0a9479b5_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,дизельрульслева,103000км"
Kia K5 II Седан,$18000,1580940сом,https://im.mashina.kg/tachka/images//9/b/4/9b4c7ca72fabf68301db1b8d3372d148_240x180.jpg,"2019г.,2л.,автоматседан,бензинрульслева,105000км"
Kia K7,$18000,1580940сом,https://im.mashina.kg/tachka/images//8/e/6/8e62e0226c3b5c51987d0256c0f1b6a0_240x180.jpg,"2018г.,3л.,автоматседан,газрульслева,130000км"
Mercedes-Benz G-класс AMG,$32000,2810560сом,https://im.mashina.kg/tachka/images//9/2/9/9293e1e669edd17e14c0db2f54b20773_240x180.jpg,"2007г.,5.4л.,автоматвнедорожник5дв.,бензинрульслева,185000км"
